Identifier,Tag: Name,Service,Type,Region,Tag: AppName,Tag: BudgetCode,Tag: CitcoEnterpriseTags,Tag: ClientData,Tag: ComponentGroup,Tag: ComponentType,Tag: Cost,Tag: EBSBudgetCode,Tag: EBSCostCenter,Tag: Env,Tag: Environment,Tag: LOB,Tag: Project Code ,Tag: RpaProject,Tag: RunSchedule,Tag: ScheduleMessage,Tag: SubProject,Tag: System,Tag: TagName,Tag: aws:cloudformation:logical-id,Tag: aws:cloudformation:stack-id,Tag: aws:cloudformation:stack-name,Tag: lambda:createdBy,Tags,ARN
chatbot-task:343,DocSage,ECS,TaskDefinition,eu-west-1,(not tagged),IA-BPO,(not tagged),false,chatbot,api,IA-BPO,(not tagged),IA-BPO,dev,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/chatbot-task:343
aeoi-task:616,(not tagged),ECS,TaskDefinition,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,aeoi,ui,rpacfs1,(not tagged),rpacfs1,dev,(not tagged),rpacfs1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/aeoi-task:616
aeoi-task:552,(not tagged),ECS,TaskDefinition,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,aeoi,api,rpacfs1,(not tagged),rpacfs1,dev,(not tagged),rpacfs1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/aeoi-task:552
deadline-task:7,(not tagged),ECS,TaskDefinition,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,deadline,api,IA-BPO,(not tagged),IA-BPO,dev,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/deadline-task:7
deadline-task:77,(not tagged),ECS,TaskDefinition,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,deadline,api,IA-BPO,(not tagged),IA-BPO,dev,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/deadline-task:77
aeoi-task:237,(not tagged),ECS,TaskDefinition,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,aeoi,ui,rpacfs1,(not tagged),rpacfs1,dev,(not tagged),rpacfs1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/aeoi-task:237
chatbot-task:474,DocSage,ECS,TaskDefinition,eu-west-1,(not tagged),IA-BPO,(not tagged),false,chatbot,api,IA-BPO,(not tagged),IA-BPO,dev,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/chatbot-task:474
cais-task:287,(not tagged),ECS,TaskDefinition,eu-west-1,rpacfs1,rpacfs1,(not tagged),false,cais,web,rpacfs1,(not tagged),rpacfs1,dev,(not tagged),rpacfs1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/cais-task:287
dev-cdq-task:162,(not tagged),ECS,TaskDefinition,eu-west-1,(not tagged),IA-BPO,(not tagged),false,cdq,api,IA-BPO,(not tagged),IA-BPO,dev,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),cdq,(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/dev-cdq-task:162
cais-task:7,(not tagged),ECS,TaskDefinition,eu-west-1,IA-BPO,IA-BPO,(not tagged),false,cais,api,IA-BPO,(not tagged),IA-BPO,dev,(not tagged),IA-BPO,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),9,arn:aws:ecs:eu-west-1:442645024664:task-definition/cais-task:7
